idVisit,serverTime,timeSpent,actionCategory,actionName,userName,department,team,title,organization,name,country
202305,2016-12-19 16:22:14,156,WebNei clicked,AirScale System Module in FDD LTE (FL16A),Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202309,2016-12-19 16:23:01,250,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Mythology   ,MN Mobile Networks,MN Product Portfolio Sales1,"Head of Technology, THM SR",MN Product Portfolio Sales,Age of Mythology   ,Taiwan
202305,2016-12-19 16:24:50,65,Webnei downloaded,AirScale System Module in FDD LTE (FL16A),Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:25:55,128,WebNei clicked,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202309,2016-12-19 16:27:11,,Webnei downloaded,Step towards Next Gen Telco: 5G introduction,Age of Mythology   ,MN Mobile Networks,MN Product Portfolio Sales1,"Head of Technology, THM SR",MN Product Portfolio Sales,Age of Mythology   ,Taiwan
202313,2016-12-19 16:27:35,11,WebNei clicked,LTE568,Agatha Christie: Peril at End House  ,MN Mobile Networks,MN RN CRD Network Perform121,INGENIEUR OPTIMISATION,MN Radio Networks,Agatha Christie: Peril at End House  ,France
202313,2016-12-19 16:27:46,5,Webnei downloaded,DL Adaptive Closed Loop MIMO (4x2) LTE568,Agatha Christie: Peril at End House  ,MN Mobile Networks,MN RN CRD Network Perform121,INGENIEUR OPTIMISATION,MN Radio Networks,Agatha Christie: Peril at End House  ,France
202313,2016-12-19 16:27:51,1336,Webnei downloaded,DL Adaptive Closed Loop MIMO (4x2) LTE568,Agatha Christie: Peril at End House  ,MN Mobile Networks,MN RN CRD Network Perform121,INGENIEUR OPTIMISATION,MN Radio Networks,Agatha Christie: Peril at End House  ,France
202305,2016-12-19 16:28:03,16,WebNei clicked,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:28:19,20,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:28:39,47,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:29:26,14,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:29:40,1,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202305,2016-12-19 16:29:41,,Webnei downloaded,IoT - Internet of Things - Introduction,Age of Mythology  ,MN Mobile Networks,MN GS India13,RF Optimization Engineer,MN Global Services,Age of Mythology  ,India
202322,2016-12-19 16:38:36,,WebNei clicked,Step towards Next Gen Telco: 5G introduction,Age of Mythology: Gold Edition  ,MN Mobile Networks,MN RN LTE-N RDCF,"Engineer, System Specification",MN Radio Networks,Age of Mythology: Gold Edition  ,Poland
202313,2016-12-19 16:50:07,5,WebNei clicked,LTE569,Agatha Christie: Peril at End House  ,MN Mobile Networks,MN RN CRD Network Perform121,INGENIEUR OPTIMISATION,MN Radio Networks,Agatha Christie: Peril at End House  ,France
